name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
Apple Pie Overnight Oats,https://www.skinnytaste.com/wp-content/uploads/2022/10/Apple-Pie-Overnight-Oats-3-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",9,361,8,59,11,8 hrs 25 mins,4.73,18,8591,"This cozy Apple Pie Overnight Oats recipe with apples, cinnamon, maple syrup, oats, chia seeds and walnuts, tastes just like apple pie!"
Avocado Toast with Egg – Four (4) Ways,https://www.skinnytaste.com/wp-content/uploads/2015/01/Avocado-Toast-with-Egg-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",3,229,12,23,10,10 mins,4.97,53,73896,"Avocado Toast with Sunny Side Egg, now this is MY kind of breakfast egg sandwich!"
Black Bean Soup (Freezer Friendly),https://www.skinnytaste.com/wp-content/uploads/2010/09/Black-Bean-Soup-5-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Vegetarian Meals']",1,256,13.5,45,3,2 hrs 30 mins,5,18,5075,A healthy and savory black bean soup recipe that is easy to prepare. Perfect for those cold winter days. Freezer friendly!
Blackened Air Fryer Salmon Bites,https://www.skinnytaste.com/wp-content/uploads/2022/10/Blackended-Air-Fryer-Salmon-Bites-6-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Keto Recipes', 'Low Carb', 'Paleo', 'Under 30 Minutes', 'Whole30 Recipes']",0,251,34,2,11,10 mins,4.97,58,36178,"Blackened Air Fryer Salmon Bites are great on top of a salad, served with rice or your favorite grain, or in a bowl with veggies and sauce."
Tofu Tacos with Potatoes and Jalapeños,https://www.skinnytaste.com/wp-content/uploads/2022/10/Roasted-Tofu-Tacos-with-Potatoes-and-Jalapeños-8-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",7,444,16,44,24,50 mins,5,16,516,These vegan Tofu Tacos with Potatoes and Jalapeños are great when you want a plant-based taco that still has lots of protein.
Sweet Potato Turkey Meatloaf,https://www.skinnytaste.com/wp-content/uploads/2022/10/Turkey-Sweet-Potato-Meatloaf-5-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Whole30 Recipes']",7,264,24,19,10.5,1 hr 15 mins,4.88,50,6903,"This easy, gluten-free, dairy-free Sweet Potato Turkey Meatloaf puts a fun healthy spin on my classic turkey meatloaf."
Lemony Hearts of Palm Salad with Avocado,https://www.skinnytaste.com/wp-content/uploads/2022/10/Lemony-Hearts-of-Palm-and-Avocado-Salad-2-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",4,145,2.5,8,12.5,10 mins,5,3,1301,This Lemony Hearts of Palm and Avocado Salad is a fast and easy side salad recipe or make it a main dish with your favorite protein.
Pizza Sausage Rolls,https://www.skinnytaste.com/wp-content/uploads/2020/10/Pizza-Sausage-Rolls-12-260x390.jpg,"['Gluten Free', 'Kid Friendly']",8,302,22,30,10,50 mins,4.91,21,6677,"Pizza Sausage Rolls wrapped in bagel dough with Italian chicken sausage, marinara and mozzarella make a fun appetizer or snack your whole family will love."
Korean-Inspired Salmon Tacos with Spicy Slaw,https://www.skinnytaste.com/wp-content/uploads/2022/10/Korean-Inspired-Salmon-Tacos-with-Spicy-Slaw-4-260x390.jpg,"['Dairy Free', 'Gluten Free']",7,404,27,33,18,2 hrs 20 mins,5,14,3163,Korean-Inspired Salmon Tacos with Spicy Gochujang Slaw is a delicious way to switch up your fish taco game!
Baked Mexican Layer Dip,https://www.skinnytaste.com/wp-content/uploads/2019/10/Mexican-Hot-Bean-Dip-10-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",4,173,15.5,11.5,8.5,1 hr,4.80,29,47352,"Grab some chips and dig into this cheesy, Baked Mexican Layer Dip made with spiced ground turkey, refried beans, salsa, green chilies, tomatoes, cheese and avocado."
